_id,language,corpus_id,part_of_speech_id,lemma_id,word_text
fe10389a-7d60-4614-b985-c4e3a7e4cf05,es,e293ef3c-db3f-447f-b59d-e0975c327f95,498dedbe-ab7d-497b-92da-2ec493f260c9,5f6ad744-d07a-498f-afcd-e74284fe2032,destronarán
ca72221a-c22f-41ce-b006-ee39a11c7929,es,e293ef3c-db3f-447f-b59d-e0975c327f95,976afdac-7234-4b6a-ade4-ea83d9368dfb,08c1ca08-477d-4df9-aa25-ee8dbc3ed477,Multitudes
078bd589-826a-4b53-a349-b751721a464f,es,e293ef3c-db3f-447f-b59d-e0975c327f95,3d788973-6639-4396-b25f-1f0c41a0b371,09318276-c8a0-459a-ad4f-bd550a70fa38,teólogica
2b76b7f4-7146-49a0-9da5-f18003f68a1a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,716f4862-c28d-49de-8da8-fa4374191eff,Bishopsgate
80ea5989-962c-48f9-a87c-1ec43ea992e2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,457d2cfb-e030-44cc-a2da-eab7e21ceb72,28ab398e-bc18-4fd6-a3d5-2b14f215d086,Despejen
ef7423a6-394c-43b0-b3ef-f737813c72d1,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2351aaec-9425-4d91-ac8b-5d375c208b51,e4576c81-e9e2-4dae-8c4c-ba7fa54487fa,pusiéramos
61d70a52-ff28-4d71-8d37-4d331129b5e8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,00f6df15-cd56-42bc-81b2-c474e2d442a6,23384333-f463-41e0-8a52-e9297464bac5,suavizarían
b457d1bc-223f-4165-89d5-ab95ffc6bbce,es,e293ef3c-db3f-447f-b59d-e0975c327f95,457d2cfb-e030-44cc-a2da-eab7e21ceb72,4ba74d02-261c-4f46-aa90-4c923c5d9974,demuelan
6e33764c-68ab-408e-b062-5c8b7bf38cbb,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,9a491bf4-52b9-4263-9db0-72906dd71b83,Quila
90cc7e5f-a27a-44e1-816a-7cfb21ece6d8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9926f141-6a38-438e-9ad0-eb6550d8f10a,d8c4fcf6-5ce4-4218-a519-d30161b9d805,Palimpsesto
0fb80b68-3d95-449b-a8fa-0aac4fec6ce5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,93d9be05-9618-49ec-8c48-6ec4c3326d82,Quena
3a93600d-6f2c-4d2d-adc2-79b33eb9d1c9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,e73d0c4a-71e2-40dd-a790-daa4d737fc3a,a09d96d4-794a-4d08-a3a0-940ff2dd8208,diferenciase
5cc5a4a7-9a5b-405d-97ad-5c99789dd651,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ed5853b2-9dbd-40d3-9247-ed70cd34f9a2,6ac0e2a4-c9be-4437-a835-57e51c5fa729,bordeleses
9aab5bf6-2eb0-4b33-8102-6559a50dd4eb,es,e293ef3c-db3f-447f-b59d-e0975c327f95,976afdac-7234-4b6a-ade4-ea83d9368dfb,03e51baa-cd46-4235-9d5b-b1b1ad783623,Reediciones
9b49f8db-a892-4b11-ae18-646175446c36,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,aa7dff9c-b195-4845-becb-884a7bb385b2,Rockdrigo
7d431b79-0e6c-4a90-b7d1-319562d3f2d9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,df86d9ba-ab05-4901-a3b7-630ba3cfac7b,6450e247-726c-4bfe-bf24-88a150a8a77f,desdibujaba
2c18ca58-069f-4f99-ae4b-58d0cb9bf81b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,976afdac-7234-4b6a-ade4-ea83d9368dfb,b9d9847a-f6e0-4aa3-bd54-ad75c30f26b1,concupiscencias
