_id,language,corpus_id,code
9589d109-bd58-4431-b1ec-5309332b7946,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSP3S
44f59e26-0746-41ae-84ae-d74bddaff482,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PICP
75870d90-402b-4f9d-9d70-131f6b6286aa,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIP2S
fd0c471d-11f3-446a-b69e-c57024a79e8a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PICS
167f4818-4227-4eb7-90f0-9346941828ea,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PTCN
df905dc1-a30b-459a-bdb1-82f59f74806e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PT00
ef61cf3c-cbe6-44d2-8338-3e68aef6fc58,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PRMP
7cc1698c-7db5-473a-98b7-a9fc190bf49a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIS1S
f1bb22e7-ecd1-4a6c-94b4-8ec2bee83ef8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VM03S
205a2081-ec8b-461f-8d68-264f6f8c0d28,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DTN
43590f9a-bd36-4b28-a4ba-bf9877152fc3,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PRMS
d7897045-4338-4207-8158-d6c62029a652,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSI3S
88174cc7-68a4-4cd5-8dc8-c89d1f0e3345,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PXFS
f9764a81-69f7-4c8e-a712-e1afd3819523,es,e293ef3c-db3f-447f-b59d-e0975c327f95,NCN
7fa29e51-3306-4950-965a-0d378dfe4fa8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PXMP
d3cd6635-4120-462e-9db2-2fe8208dcd6b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIF1P
f4e24f7d-df64-490d-b2b5-33d698a0231b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIP2P
73da9220-16e2-4852-b4c7-6453e7aeece1,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PXMS
88766a9b-695e-49f4-8bca-183ec5bbc122,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIS2P
edc82fb6-b9ef-4483-ae97-6adac714fa37,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VII1P
78f2b807-31fe-47f5-a99f-6efbd5870e63,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSF3P
a2fc88ef-7383-48d1-827d-d24aaa958d1d,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DTS
71aac0b6-6152-4646-bc9c-b56b75f39db0,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSP1P
cea23ba9-8b38-4195-812a-89ef295e2756,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PDCP
5cdeec32-d13c-4110-8f43-fce39738bf9e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIC1P
fd5980c7-903a-4012-a561-ea46d874549b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIC3S
2351aaec-9425-4d91-ac8b-5d375c208b51,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSI1P
42a184f6-80e6-48de-96b2-5418fd1ea638,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VII2S
963234cb-f5c3-4a62-a651-e9a7fe307470,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIS2S
094bd8f3-8dee-492e-8041-7e500a32e7e6,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIF1S
af107f46-67b1-4a33-ad20-3a7e58dcb6a5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VM01P
c4c92dec-1a05-4cc0-b98d-ccbbb6518087,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIF2S
743a4a4f-1c51-4e6f-9b19-d5c2d420dc1c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VM02P
87809a53-377d-47ad-965f-d21abbe70a05,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PTCP
64e2628e-6782-4dd7-bdf0-38740d5b62ee,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSI2S
a250dc50-a3a9-44bc-ad43-1e7ced885d23,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSF2S
9f81894d-a52c-4863-a91c-a63c0a4f86b1,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSI2P
6bee1601-0613-4cdf-bebf-a5b88f888634,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIS1P
c1358f88-c719-42d0-9be6-a5cc2f2b5a72,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DEN
8a8c6317-18e4-42fe-a7d1-d181a82def01,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PXFP
982cee65-4001-4202-b7e6-2d13f0cdabb4,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSP2P
7aae137e-76eb-4957-b3a3-f616e7f10494,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSF1S
c9e46ded-30ad-40f5-bca2-5e935762b848,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIF2P
0730a1c1-fdc3-4d1a-8ed5-80d195cd832c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSF3S
8e5b9ea6-dddc-4c95-a250-d8d4e20b034c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,P0CS
cbb29de3-ecf7-4051-a2ed-71e4b117e487,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PTMS
9dd272af-5ab5-40ae-ac70-e46bb1ac6678,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DEP
3c63e50b-3060-4819-a9c6-c5403ac70c78,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VP000
c5c78cc9-a30d-4a18-92e9-978f909654f8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PTFP
a2b6a26e-358e-4798-8084-0da3cbb6c7f0,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PTFS
17de766a-76b7-4e4a-ae37-634889a483c0,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DTP
94c8901b-a0e2-411e-bf3f-e3c0d6443690,es,e293ef3c-db3f-447f-b59d-e0975c327f95,DES
f66d1121-e23c-4491-a11f-8802ed230263,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PTMP
ddd0fb78-01d0-401f-9865-906d353754e9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,P0CP
7d0bdc6d-b8c4-4e59-8aa7-b95a25455672,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSF2P
856db049-287f-4e06-b690-f8a595453545,es,e293ef3c-db3f-447f-b59d-e0975c327f95,A00
569548c8-c560-4304-bcdc-94f113f8e1fd,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VII2P
322e7bf4-b378-476a-a624-0ed8a2418290,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VSF1P
fa27f859-cc58-4d3f-ac8c-51678a639cd1,es,e293ef3c-db3f-447f-b59d-e0975c327f95,VIC2P
a97a567b-8d54-4754-bacb-ebdaf7832d40,es,e293ef3c-db3f-447f-b59d-e0975c327f95,PE00
